,Close
0,7886.92
1,8055.98
2,8145.28
3,7758.0
4,7358.75
5,7354.11
6,7344.96
7,6965.71
8,7200.85
9,7195.23
10,7246.0
11,7388.24
12,7316.14
13,7254.74
14,7202.0
15,7204.63
16,7255.77
17,7317.09
18,7501.44
19,7132.75
20,7187.83
21,7150.3
22,7277.83
23,6623.82
24,6891.72
25,7118.59
26,7064.05
27,7258.48
28,7198.08
29,7210.0
30,7224.13
31,7338.64
32,7510.11
33,7488.21
34,7527.47
35,7389.0
36,7194.32
37,7292.71
38,7294.28
39,7390.89
40,7541.89
41,7739.68
42,7419.49
43,7508.52
44,7156.14
45,7109.57
46,6903.28
47,7311.57
48,7268.23
49,7627.74
50,8098.01
51,8133.64
52,8187.17
53,8502.4
54,8491.02
55,8471.73
56,8646.68
57,8777.12
58,8821.94
59,8733.27
60,9039.47
61,8809.41
62,8773.73
63,9216.2
64,9339.05
65,9308.66
66,9393.35
67,9194.71
68,9289.52
69,9231.61
70,9140.85
71,9154.72
72,9407.62
73,9205.14
74,9529.93
75,9230.0
76,8655.02
77,7412.41
78,7466.62
79,8020.0
80,8197.27
81,8223.35
82,7948.01
83,7947.01
84,8070.58
85,7991.74
86,8159.29
87,8348.2
88,8275.01
89,8300.09
90,8258.5
91,8558.03
92,8560.74
93,8168.39
94,8190.09
95,7854.25
96,8126.19
97,8137.13
98,8223.96
99,8359.94
100,8292.44
101,8289.34
102,8043.82
103,8198.81
104,8177.91
105,8063.73
106,8430.05
107,8694.23
108,9702.25
109,10028.87
110,9986.39
111,10168.59
112,10244.29
113,10156.99
114,10187.82
115,10251.31
116,10302.01
117,10335.02
118,10342.06
119,10415.01
120,10158.33
121,10098.15
122,10303.12
123,10381.18
124,10455.88
125,10298.73
126,10564.49
127,10567.02
128,10615.28
129,10340.0
130,9724.98
131,9587.47
132,9584.54
133,9498.44
134,9721.0
135,10185.05
136,10372.25
137,10142.69
138,10134.35
139,10389.55
140,10099.88
141,10142.57
142,10760.51
143,10915.54
144,10306.78
145,10216.02
146,10331.54
147,10293.93
148,10050.37
149,10892.71
150,11396.08
151,11549.97
152,11309.31
153,11879.99
154,11999.77
155,11975.03
156,11481.69
157,11828.8
158,10929.23
159,10816.86
160,10523.75
161,10374.99
162,10080.53
163,9574.21
164,9507.64
165,9541.54
166,9476.52
167,9824.0
168,9879.87
169,9763.28
170,9864.91
171,10340.31
172,10589.45
173,10740.23
174,10504.29
175,10627.16
176,9667.92
177,9439.59
178,10838.72
179,10174.18
180,11355.76
181,11757.22
182,11342.89
183,12108.37
184,12543.41
185,12238.6
186,11406.24
187,11256.49
188,10970.73
189,11145.67
190,11940.0
191,10842.85
192,10624.93
193,10854.1
194,11903.13
195,12400.63
196,11329.99
197,12666.45
198,11820.86
199,11056.59
200,10906.07
201,10729.5
202,10159.86
203,9517.12
204,9255.49
205,9081.55
206,9313.96
207,8953.33
208,8808.7
209,8650.0
210,8218.54
211,8127.64
212,7884.9
213,7982.75
214,7628.13
215,7893.62
216,7980.53
217,7786.7
218,7776.5
219,7687.03
220,8115.82
221,8725.98
222,8544.07
223,8555.0
224,8269.54
225,8645.68
226,8715.64
227,8756.32
228,8614.43
229,8025.41
230,7964.87
231,7851.51
232,7628.43
233,7904.87
234,7938.15
235,8148.48
236,7257.45
237,7355.26
238,7866.59
239,8169.87
240,7947.56
241,7790.71
242,6967.31
243,7076.22
244,6373.33
245,6209.18
246,5987.29
247,5962.16
248,5747.79
249,5775.62
250,5829.45
251,5772.69
252,5492.87
253,5383.2
254,5320.81
255,5238.14
256,5307.52
257,5295.69
258,5314.1
259,5219.9
260,5415.0
261,5493.31
262,5357.14
263,5256.14
264,5291.73
265,5258.68
266,5258.44
267,5202.82
268,5173.72
269,5024.95
270,5131.3
271,5045.22
272,5048.01
273,5017.37
274,5308.25
275,5150.0
276,5236.9
277,5170.27
278,5043.89
279,5004.95
280,4898.66
281,4932.6
282,4857.29
283,4144.56
284,3998.9
285,3987.81
286,3981.14
287,4005.98
288,3923.76
289,3877.12
290,3866.0
291,3882.73
292,3871.61
293,3916.82
294,3943.04
295,3864.89
296,3873.64
297,3861.84
298,3857.73
299,3715.3
300,3807.75
301,3819.93
302,3823.0
303,3813.69
304,3818.07
305,3809.23
306,3827.92
307,3743.56
308,4117.76
309,3962.0
310,3937.31
311,3969.74
312,3907.79
313,3898.6
314,3667.58
315,3618.41
316,3602.47
317,3590.56
318,3609.4
319,3631.46
320,3631.05
321,3680.06
322,3665.18
323,3659.04
324,3398.4
325,3405.37
326,3471.59
327,3463.22
328,3458.11
329,3504.77
330,3462.07
331,3434.1
332,3458.18
333,3411.04
334,3434.15
335,3550.84
336,3565.25
337,3565.29
338,3569.62
339,3552.82
340,3570.93
341,3526.9
