,Open,High,Low,Close,Volume BTC,Volume USDT mil,Open_b_1,High_b_1,Low_b_1,Close_b_1,Volume_(BTC)_b_1,Volume_(Currency)_b_1
0,7758.0,8207.68,7723.71,8145.28,81794.92,649.6866777,8145.28,8455.0,7870.0,8055.98,100231.74,824.5096053999999
1,7358.75,7795.34,7346.76,7758.0,49697.96,375.9534646,7758.0,8207.68,7723.71,8145.28,81794.92,649.6866777
2,7354.11,7495.0,7318.0,7358.75,34999.35,260.1089768,7358.75,7795.34,7346.76,7758.0,49697.96,375.9534646
3,7344.96,7404.0,7272.21,7354.11,27821.23,203.98506980000002,7354.11,7495.0,7318.0,7358.75,34999.35,260.1089768
4,6965.71,7405.0,6871.04,7344.96,61732.73,446.70889220000004,7344.96,7404.0,7272.21,7354.11,27821.23,203.98506980000002
5,7200.85,7212.5,6924.74,6965.71,28711.23,203.1135936,6965.71,7405.0,6871.04,7344.96,61732.73,446.70889220000004
6,7195.23,7255.0,7175.15,7200.85,15863.73,114.51018700000002,7200.85,7212.5,6924.74,6965.71,28711.23,203.1135936
7,7246.0,7320.0,7145.01,7195.23,24256.85,175.25467869999997,7195.23,7255.0,7175.15,7200.85,15863.73,114.51018700000002
8,7388.24,7408.24,7220.0,7246.0,27565.74,201.5970368,7246.0,7320.0,7145.01,7195.23,24256.85,175.25467869999997
9,7316.14,7528.45,7288.0,7388.24,29020.09,214.23016980000003,7388.24,7408.24,7220.0,7246.0,27565.74,201.5970368
10,7254.74,7365.01,7238.67,7316.14,25071.48,183.3254427,7316.14,7528.45,7288.0,7388.24,29020.09,214.23016980000003
11,7202.0,7275.86,7076.42,7254.74,30768.07,221.5402891,7254.74,7365.01,7238.67,7316.14,25071.48,183.3254427
12,7204.63,7435.0,7157.12,7202.0,33167.16,240.80117579999998,7202.0,7275.86,7076.42,7254.74,30768.07,221.5402891
13,7255.77,7271.77,7128.86,7204.63,25457.83,183.60408280000001,7204.63,7435.0,7157.12,7202.0,33167.16,240.80117579999998
14,7317.09,7436.68,7157.04,7255.77,39505.57,288.36163270000003,7255.77,7271.77,7128.86,7204.63,25457.83,183.60408280000001
15,7501.44,7695.38,7265.84,7317.09,60987.27,457.7289699,7317.09,7436.68,7157.04,7255.77,39505.57,288.36163270000003
16,7132.75,7518.54,7122.47,7501.44,35292.5,257.4665623,7501.44,7695.38,7265.84,7317.09,60987.27,457.7289699
17,7187.83,7190.58,7105.0,7132.75,18190.18,129.9469093,7132.75,7518.54,7122.47,7501.44,35292.5,257.4665623
18,7150.3,7220.0,7079.5,7187.83,29759.82,212.8713984,7187.83,7190.58,7105.0,7132.75,18190.18,129.9469093
19,7277.83,7380.0,7038.31,7150.3,50624.1,362.42177369999996,7150.3,7220.0,7079.5,7187.83,29759.82,212.8713984
20,6623.82,7440.0,6435.0,7277.83,85595.89,585.2282557999999,7277.83,7380.0,7038.31,7150.3,50624.1,362.42177369999996
21,6891.72,6942.21,6560.0,6623.82,48961.97,331.0134063,6623.82,7440.0,6435.0,7277.83,85595.89,585.2282557999999
22,7118.59,7150.0,6836.0,6891.72,39497.8,276.9798827,6891.72,6942.21,6560.0,6623.82,48961.97,331.0134063
23,7064.05,7200.3,7008.35,7118.59,24422.47,173.3884888,7118.59,7150.0,6836.0,6891.72,39497.8,276.9798827
24,7258.48,7271.77,7012.0,7064.05,27222.69,194.32269,7064.05,7200.3,7008.35,7118.59,24422.47,173.3884888
25,7198.08,7309.05,7190.76,7258.48,25590.86,185.22024380000002,7258.48,7271.77,7012.0,7064.05,27222.69,194.32269
26,7210.0,7295.0,7080.3,7198.08,38744.76,278.210361,7198.08,7309.05,7190.76,7258.48,25590.86,185.22024380000002
27,7224.13,7275.5,7125.66,7210.0,27874.05,201.09220990000003,7210.0,7295.0,7080.3,7198.08,38744.76,278.210361
28,7338.64,7407.6,7157.1,7224.13,45187.19,330.0055173,7224.13,7275.5,7125.66,7210.0,27874.05,201.09220990000003
29,7510.11,7650.0,7273.0,7338.64,42385.3,315.9324607,7338.64,7407.6,7157.1,7224.13,45187.19,330.0055173
30,7488.21,7564.0,7374.86,7510.11,27712.74,207.2765497,7510.11,7650.0,7273.0,7338.64,42385.3,315.9324607
31,7527.47,7619.62,7470.16,7488.21,29505.47,221.99982709999998,7488.21,7564.0,7374.86,7510.11,27712.74,207.2765497
32,7389.0,7590.03,7305.0,7527.47,44263.35,327.7775146,7527.47,7619.62,7470.16,7488.21,29505.47,221.99982709999998
33,7194.32,7485.0,7150.0,7389.0,54542.99,399.8116238,7389.0,7590.03,7305.0,7527.47,44263.35,327.7775146
34,7292.71,7750.0,7067.0,7194.32,75289.06,550.9668035,7194.32,7485.0,7150.0,7389.0,54542.99,399.8116238
35,7294.28,7400.0,7241.35,7292.71,30874.84,225.7468653,7292.71,7750.0,7067.0,7194.32,75289.06,550.9668035
36,7390.89,7420.56,7151.1,7294.28,42953.43,313.29008819999996,7294.28,7400.0,7241.35,7292.71,30874.84,225.7468653
37,7541.89,7541.89,7210.0,7390.89,55963.07,411.2160789,7390.89,7420.56,7151.1,7294.28,42953.43,313.29008819999996
38,7739.68,7810.0,7441.0,7541.89,43649.46,333.2652981,7541.89,7541.89,7210.0,7390.89,55963.07,411.2160789
39,7419.49,7850.0,7362.3,7739.68,55883.83,425.90004189999996,7739.68,7810.0,7441.0,7541.89,43649.46,333.2652981
40,7508.52,7643.0,7360.0,7419.49,52819.31,396.692521,7419.49,7850.0,7362.3,7739.68,55883.83,425.90004189999996
41,7156.14,7655.0,6840.0,7508.52,83809.93,608.8285762,7508.52,7643.0,7360.0,7419.49,52819.31,396.692521
42,7109.57,7340.0,7017.48,7156.14,60968.73,435.6229135,7156.14,7655.0,6840.0,7508.52,83809.93,608.8285762
43,6903.28,7377.69,6515.0,7109.57,108525.89,754.4125743,7109.57,7340.0,7017.48,7156.14,60968.73,435.6229135
44,7311.57,7330.39,6861.0,6903.28,62299.87,442.31858539999996,6903.28,7377.69,6515.0,7109.57,108525.89,754.4125743
45,7268.23,7344.48,7080.01,7311.57,47009.84,339.59606610000003,7311.57,7330.39,6861.0,6903.28,62299.87,442.31858539999996
46,7627.74,7750.0,6790.0,7268.23,112866.99,818.5758093,7268.23,7344.48,7080.01,7311.57,47009.84,339.59606610000003
47,8098.01,8134.73,7500.0,7627.74,53008.6,413.1331548,7627.74,7750.0,6790.0,7268.23,112866.99,818.5758093
48,8133.64,8264.29,8038.4,8098.01,30269.17,245.54207960000002,8098.01,8134.73,7500.0,7627.74,53008.6,413.1331548
49,8187.17,8218.63,8003.0,8133.64,40268.68,326.8117166,8133.64,8264.29,8038.4,8098.01,30269.17,245.54207960000002
50,8502.4,8503.52,8060.0,8187.17,39467.55,329.1850667,8187.17,8218.63,8003.0,8133.64,40268.68,326.8117166
51,8491.02,8635.0,8350.68,8502.4,24922.3,212.2502568,8502.4,8503.52,8060.0,8187.17,39467.55,329.1850667
52,8471.73,8543.0,8400.0,8491.02,19627.54,166.42365149999998,8491.02,8635.0,8350.68,8502.4,24922.3,212.2502568
53,8646.68,8790.0,8400.0,8471.73,42189.03,361.3206103,8471.73,8543.0,8400.0,8491.02,19627.54,166.42365149999998
54,8777.12,8800.0,8582.6,8646.68,30941.25,268.2100608,8646.68,8790.0,8400.0,8471.73,42189.03,361.3206103
55,8821.94,8844.99,8702.0,8777.12,25115.33,220.19961990000002,8777.12,8800.0,8582.6,8646.68,30941.25,268.2100608
56,8733.27,8888.0,8567.6,8821.94,37072.73,323.93440069999997,8821.94,8844.99,8702.0,8777.12,25115.33,220.19961990000002
57,9039.47,9072.32,8618.68,8733.27,41436.65,364.2701204,8733.27,8888.0,8567.6,8821.94,37072.73,323.93440069999997
58,8809.41,9147.19,8750.0,9039.47,31595.96,282.028213,9039.47,9072.32,8618.68,8733.27,41436.65,364.2701204
59,8773.73,8880.0,8724.88,8809.41,27538.74,242.7176111,8809.41,9147.19,8750.0,9039.47,31595.96,282.028213
60,9216.2,9261.0,8696.0,8773.73,56517.43,505.6092984,8773.73,8880.0,8724.88,8809.41,27538.74,242.7176111
61,9339.05,9375.0,9101.0,9216.2,28015.56,258.7872296,9216.2,9261.0,8696.0,8773.73,56517.43,505.6092984
62,9308.66,9440.91,9250.01,9339.05,34728.86,324.2547834,9339.05,9375.0,9101.0,9216.2,28015.56,258.7872296
63,9393.35,9454.95,9175.76,9308.66,42441.58,395.60573769999996,9308.66,9440.91,9250.01,9339.05,34728.86,324.2547834
64,9194.71,9513.68,9115.84,9393.35,42370.15,393.9500881,9393.35,9454.95,9175.76,9308.66,42441.58,395.60573769999996
65,9289.52,9362.57,9066.14,9194.71,25927.76,238.57522039999998,9194.71,9513.68,9115.84,9393.35,42370.15,393.9500881
